learning_rate,n_estimators,max_depth,min_child_weight,subsample,gamma,alpha,lambda,colsample_bytree,scale_pos_weight,F1
0.06318730785749581,442,5,3,0.9797092424982468,0.46824666565511286,0.6141688503188927,0.5713395284530771,0.9193983854415653,1,0.8248130935542534
0.09823025045826593,425,4,4,0.9518405986847048,0.41276742076020784,0.3341430223838622,0.06675025485075692,0.8096150679470347,1,0.8254578569260346
0.16217936517334897,913,6,2,0.9628167841660087,0.39565535715633343,0.8179041768324394,0.11644552408471143,0.82883992678865,3,0.8142126415783705
0.13526405540621358,597,5,1,0.9966131103309546,0.10045566984276122,0.038363861355701134,0.5964745775439524,0.9412054235951702,3,0.8162598675256328
0.09445645065743215,463,7,2,0.6833261560034072,0.40255960437733246,0.8707971723381132,0.2749791919736402,0.9223712613661434,1,0.8156751843248157
0.18743733946949004,990,9,4,0.7421757349456247,0.4250663673425184,0.5127498997939296,0.07964512903476584,0.6528846091281199,4,0.8001135718341851
0.05045321958909213,526,3,3,0.8676876119699466,0.14457516722707547,0.3982502348634128,0.42960274344854676,0.8855658336334538,3,0.818149081742888
0.09472194807521325,120,7,3,0.793521015944259,0.47613003918116187,0.4971672807176857,0.5543225980836554,0.7741744515608142,4,0.8061646851607221
0.11624493455517058,506,8,4,0.7673558133513334,0.024930073199582126,0.6674155305338311,0.32874598834960655,0.7178595612250002,1,0.8093936633262476
0.1422602954229404,718,4,3,0.7431244997342372,0.07495462662356983,0.01276542651789736,0.720433702225778,0.6200075283608745,4,0.805548239838469
0.23770102880397392,435,8,5,0.8375122527773808,0.26879056902575715,0.8715518564582477,0.6437706081012446,0.7948998241381804,4,0.802805049088359
0.06790539682592432,914,6,1,0.8302373714560328,0.28789623556115485,0.4467395253113928,0.33281836109167195,0.7421746722898126,3,0.8132894014277869
0.15912798713994736,216,6,1,0.664583133625696,0.3225750416504517,0.3429665197000782,0.7548725289085606,0.7006052158705603,4,0.8056562085726912
0.18180022496999232,223,4,1,0.7886959350073757,0.008484564657733229,0.1382455656340571,0.6486950425330354,0.877868691838783,4,0.8059832050384884
0.02347061968879934,498,5,3,0.8213887104839399,0.48018338731106514,0.43946537435844213,0.6374453787179021,0.9077941549262348,4,0.8073025856044724
0.1861880070514171,892,5,3,0.8281147754925562,0.022294046367071996,0.49632277128437885,0.553427700787068,0.69791580761177,1,0.8126392546080615
0.059451995869314544,903,6,2,0.6840428771649407,0.07153097636170119,0.4036466944934778,0.011389668088552796,0.6197789746717389,1,0.8195625759416768
0.02886496196573106,814,6,2,0.8969085569009148,0.00700725876302849,0.6786600938268971,0.6965071834768891,0.939501080226094,2,0.8258198657971836
0.2851768058034666,150,9,1,0.6100796379284278,0.28342921664704734,0.420896528759226,0.3760417911091565,0.6039838964817213,1,0.8057713651498335
0.2900332895916222,882,3,5,0.741932742217265,0.4661334419604861,0.9614175778465733,0.9426097101586556,0.9748449975685888,1,0.8229936241271126
0.24443523095377373,423,9,2,0.9120850594142534,0.3329735830402321,0.5992775178235918,0.8179847710772054,0.8510479495930823,2,0.8048733320440921
0.09833799306027749,888,9,2,0.825557168422161,0.41132873424021366,0.807477935651909,0.5876944695313122,0.7287386540805281,2,0.8095560499081149
0.03832491306185132,240,5,3,0.7044649730043441,0.006640601729290041,0.10935590310947885,0.25218198181926943,0.6985911638306945,3,0.8179528692210829
0.2084275776885255,569,4,5,0.8779812477372191,0.27100764923986304,0.3972912929459057,0.20371739327766658,0.6036022657057901,3,0.8154934687953556
0.13764422318448438,886,5,1,0.8269563776624294,0.22978148875276094,0.3368477014471527,0.3403848376775491,0.6941885668043508,1,0.8174739609667308
0.045391088104985856,901,3,2,0.9184974437825548,0.24948397211039652,0.5694823881365918,0.4765679435800185,0.6550913206068564,4,0.8066713237862382
0.15360130393226834,433,8,5,0.8940100744759294,0.03610659266759397,0.8611135200614256,0.2960655100389471,0.8448664882892583,3,0.8072266363980325
0.019972671123413333,992,6,5,0.8440431688144938,0.34221768053465373,0.07833821776200667,0.5149294953924828,0.6666182354375205,3,0.8182724553611892
0.2737029166028468,472,6,1,0.7952710701243256,0.2516102074293172,0.07257479804471079,0.16537042551318593,0.8114519350146477,1,0.8100271821202054
0.0850461946640049,663,3,5,0.6532728502670093,0.382574424930632,0.8503177081575989,0.9777128128254999,0.8360465689377883,4,0.8068062827225131
0.20213146246265476,593,9,5,0.7045332071541535,0.24264531703085768,0.21285008603835742,0.10792455496499387,0.7192166793387658,2,0.7946864621996483
0.10039621206592916,638,4,5,0.7676397891668341,0.07469081811321604,0.6687532544498137,0.9319441396543721,0.6140259796074875,2,0.8279377064653138
0.16081972614156514,768,6,2,0.8397197148025555,0.324128477038911,0.5428781323608052,0.9135780114026949,0.6149015522456784,1,0.8140734000606612
0.1685459810095511,850,7,1,0.8054831420861219,0.08619318105258311,0.8328935948872295,0.525360481819498,0.610538932877567,1,0.8078549848942598
